Age,Hours per day,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Primary streaming service_I do not use a streaming service.,Primary streaming service_Other streaming service,Primary streaming service_Pandora,Primary streaming service_Spotify,Primary streaming service_YouTube Music,Fav genre_Country,Fav genre_EDM,Fav genre_Folk,Fav genre_Gospel,Fav genre_Hip hop,Fav genre_Jazz,Fav genre_K pop,Fav genre_Latin,Fav genre_Lofi,Fav genre_Metal,Fav genre_Pop,Fav genre_R&B,Fav genre_Rap,Fav genre_Rock,Fav genre_Video game music,Music effects_No effect,Music effects_Worsen,While working_Yes,Instrumentalist_Yes,Composer_Yes,Exploratory_Yes,Foreign languages_Yes
49.0,1.0,128.0,2,0,0,0,0,3,1,0,0,3,0,3,3,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
60.0,1.0,129.0,2,1,0,2,0,0,2,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
22.0,3.0,77.0,1,0,2,1,0,3,1,0,2,1,2,3,2,3,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
26.0,0.5,140.0,1,0,1,2,0,0,1,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
38.0,1.0,125.0,1,0,0,0,0,1,2,1,1,0,1,2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
60.0,2.0,119.0,1,2,0,1,3,0,0,0,1,0,0,2,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18.0,2.0,101.0,0,0,2,0,0,1,0,0,0,1,0,1,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
15.0,2.0,102.0,1,1,2,0,2,1,2,2,0,0,0,3,2,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0
14.0,2.0,136.0,1,0,0,2,0,2,1,0,0,0,2,3,1,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1
74.0,1.0,129.0,1,3,0,2,2,0,1,0,2,0,0,3,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42.0,2.5,148.0,2,1,3,1,0,2,3,0,1,1,2,1,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
19.0,5.0,158.0,1,2,2,0,0,1,1,3,1,0,0,3,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
18.0,2.0,96.0,2,1,0,0,0,2,1,0,0,3,1,3,3,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
44.0,1.5,99.0,1,3,0,3,1,2,0,0,0,0,0,1,1,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.0,12.0,136.0,2,1,0,2,1,1,1,0,1,0,3,3,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0
22.0,6.0,63.0,0,1,2,3,0,1,1,0,2,2,0,1,1,1,3,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
29.0,4.0,120.0,3,0,3,0,0,0,2,0,1,1,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
16.0,1.0,75.0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
17.0,3.0,113.0,2,1,0,0,0,3,2,3,1,0,0,3,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1
19.0,2.0,120.0,1,0,2,1,0,1,2,2,2,2,0,3,3,2,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
22.0,3.0,90.0,0,3,1,2,0,1,2,0,3,0,1,2,3,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
40.0,2.0,120.0,2,0,2,1,0,1,1,0,0,1,3,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1
23.0,2.0,171.0,3,0,1,1,0,0,2,0,1,2,0,3,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
15.0,5.0,87.0,1,2,0,3,1,2,0,0,0,2,0,0,0,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
22.0,2.0,126.0,0,0,3,0,0,2,0,3,0,0,0,2,0,2,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
43.0,1.0,110.0,0,3,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.0,3.0,120.0,0,0,0,0,0,3,0,3,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
14.0,12.0,136.0,2,2,1,1,1,3,2,0,0,3,0,3,3,3,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
17.0,1.0,70.0,1,0,1,2,0,0,0,0,3,3,3,2,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1
59.0,2.0,103.0,1,0,3,1,0,1,2,1,1,1,0,3,3,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
36.0,3.0,105.0,3,3,2,0,0,1,0,3,2,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
17.0,5.0,180.0,0,0,2,0,0,2,0,3,1,1,0,3,3,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
58.0,1.0,80.0,2,1,0,1,2,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
24.0,4.0,150.0,2,1,0,1,1,1,0,0,0,0,3,2,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
31.0,1.0,113.0,3,0,0,2,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
13.0,2.5,118.0,0,2,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17.0,2.0,118.0,1,1,0,0,2,2,1,3,0,1,0,2,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
18.0,10.0,140.0,0,0,3,2,0,2,0,0,0,2,0,3,3,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
18.0,3.0,140.0,2,0,0,0,0,1,2,0,0,1,1,1,1,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1
25.0,2.0,91.0,2,1,2,1,0,3,3,1,2,3,0,2,1,2,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
20.0,8.0,148.0,0,1,1,2,0,0,1,0,0,1,2,1,2,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
22.0,2.0,120.0,1,2,3,2,1,2,2,1,1,2,3,2,2,3,2,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
15.0,2.0,156.0,0,0,1,1,0,0,0,0,0,1,2,2,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
20.0,0.5,150.0,2,1,2,0,0,2,2,0,0,2,2,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
21.0,1.0,105.0,2,0,1,0,0,1,1,0,0,0,1,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
20.0,2.0,126.0,0,0,2,0,0,1,0,0,0,0,0,3,0,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
18.0,1.5,150.0,0,0,0,0,0,2,2,0,0,2,0,3,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.0,3.0,113.0,3,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
17.0,3.0,130.0,1,2,2,2,0,1,1,1,0,3,2,3,3,2,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
15.0,1.0,150.0,0,1,2,0,0,2,1,0,0,3,2,2,1,1,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
70.0,2.0,88.0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23.0,3.0,93.0,3,0,0,3,0,3,3,0,1,3,1,3,3,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1
22.0,3.0,150.0,1,1,2,2,0,1,2,1,1,1,2,3,1,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
18.0,1.0,100.0,1,1,0,1,1,2,0,0,0,0,0,3,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
14.0,2.0,181.0,3,0,0,0,0,1,0,0,0,1,2,2,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
19.0,6.0,94.0,0,3,0,2,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
37.0,2.0,100.0,0,0,0,0,0,1,0,0,0,0,2,2,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
18.0,4.0,135.0,2,1,2,0,2,2,0,3,3,1,0,2,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1
28.0,4.0,178.0,1,2,2,1,0,3,0,0,3,2,1,3,1,3,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
21.0,11.0,125.0,1,1,2,1,1,3,2,1,1,3,3,3,2,3,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1
28.0,1.0,147.0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
65.0,6.0,146.0,1,1,0,1,1,1,1,1,2,0,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
17.0,1.0,118.0,0,2,1,3,0,1,0,0,1,1,1,1,1,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
22.0,7.0,112.0,0,0,2,1,0,3,0,3,2,0,0,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
34.0,2.0,120.0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16.0,6.0,105.0,1,1,2,1,0,3,2,3,3,1,0,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
31.0,4.0,55.0,3,1,0,1,1,0,2,0,0,1,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
28.0,2.0,172.0,0,1,1,1,0,2,0,1,0,2,1,2,3,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
18.0,1.0,105.0,2,1,0,0,1,0,1,0,2,1,0,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
20.0,4.0,120.0,1,0,2,0,0,1,0,3,1,1,2,3,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1
36.0,1.0,132.0,3,2,0,1,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
15.0,6.0,110.0,2,0,1,2,0,1,2,3,2,2,1,3,2,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1
28.0,1.0,120.0,1,0,3,2,0,0,0,0,0,1,1,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
16.0,12.0,120.0,1,0,2,1,0,3,1,0,0,0,2,2,1,2,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
18.0,1.0,100.0,0,0,1,0,0,3,0,3,0,2,0,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21.0,10.0,112.0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
19.0,1.0,160.0,0,0,0,0,0,1,0,0,0,2,3,2,1,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1
18.0,1.0,116.0,1,0,0,0,0,2,0,0,1,2,0,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
19.0,5.0,180.0,1,1,1,1,0,1,1,0,1,2,3,2,1,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1
50.0,1.0,98.0,2,2,0,0,0,3,2,1,1,0,1,3,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19.0,2.0,120.0,3,0,0,0,0,1,1,0,0,2,0,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
26.0,1.0,192.0,0,1,2,2,0,1,1,2,2,3,0,3,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19.0,5.0,111.0,2,1,0,2,1,1,2,1,1,1,3,2,1,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1
19.0,4.0,162.0,1,0,1,0,0,1,2,0,0,2,0,2,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
21.0,3.0,136.0,1,3,2,1,0,3,1,0,3,2,1,3,3,3,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1
61.0,2.5,84.0,2,0,0,1,2,0,3,2,3,2,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
63.0,2.0,133.0,3,2,1,3,0,1,2,0,1,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
16.0,3.0,84.0,1,1,0,1,2,2,2,0,1,0,2,0,2,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
21.0,4.0,89.0,0,0,1,0,0,2,0,1,1,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
19.0,4.0,149.0,2,2,0,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
16.0,2.5,103.0,1,2,0,3,0,1,2,0,2,2,1,3,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
20.0,3.0,121.0,1,2,3,0,0,2,0,1,0,2,0,2,0,2,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
18.0,16.0,90.0,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
19.0,8.0,109.0,0,3,0,1,0,0,0,0,0,0,1,1,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
25.0,2.0,170.0,1,1,1,2,0,1,0,1,0,1,3,2,0,1,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
19.0,5.0,118.0,1,3,0,3,2,1,2,0,3,1,0,2,2,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
30.0,1.0,129.0,1,0,1,1,0,1,1,0,1,1,1,3,1,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20.0,2.0,148.0,1,1,1,1,0,2,2,1,2,2,3,3,2,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
14.0,3.0,76.0,0,0,0,0,0,2,1,0,0,0,1,2,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0
22.0,1.0,128.0,0,0,3,0,1,2,2,0,0,0,0,3,3,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
17.0,4.0,144.0,2,0,0,0,0,3,0,0,0,3,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
23.0,2.0,80.0,2,1,0,1,2,0,2,1,1,1,1,2,2,1,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
19.0,5.0,136.0,2,1,1,2,2,2,1,0,0,3,3,0,0,2,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
18.0,3.0,66.0,2,0,1,2,1,1,2,0,1,1,1,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1
18.0,2.0,150.0,2,0,1,0,0,0,0,0,0,0,3,1,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1
17.0,3.0,120.0,1,1,0,2,0,2,3,0,1,0,2,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0
23.0,2.0,138.0,3,0,1,1,0,2,2,0,1,1,1,2,2,2,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0
31.0,2.0,200.0,1,1,0,1,0,1,1,0,0,1,2,2,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
25.0,1.0,107.0,0,0,3,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27.0,10.0,194.0,0,1,2,2,0,2,1,1,1,2,3,3,2,2,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
53.0,7.0,92.0,3,2,3,1,1,2,2,1,2,1,1,3,3,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
18.0,2.0,164.0,2,0,0,0,0,1,0,0,0,1,0,3,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
35.0,4.0,90.0,2,1,1,2,0,3,3,0,2,3,1,3,3,3,2,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
40.0,3.0,178.0,2,0,0,0,0,0,1,0,0,1,2,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
36.0,1.0,110.0,2,1,0,0,0,0,0,0,0,0,1,2,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
32.0,7.0,120.0,2,0,1,0,0,2,1,0,0,1,1,3,3,3,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
15.0,2.0,145.0,1,2,0,0,0,0,0,1,3,0,0,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
17.0,2.0,126.0,0,3,1,1,0,0,1,2,3,1,1,3,1,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1
30.0,3.0,121.0,1,0,3,0,1,2,0,3,0,0,1,3,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
89.0,24.0,143.0,0,0,1,1,0,3,2,0,0,1,1,1,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0
18.0,3.0,150.0,1,1,2,1,0,3,1,1,0,1,1,3,1,3,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
26.0,2.0,165.0,1,1,3,1,1,3,1,1,1,1,1,2,1,3,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
21.0,1.0,179.0,0,1,0,1,0,2,1,0,0,3,2,1,2,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
23.0,2.0,141.0,1,1,0,3,0,1,0,0,0,3,3,3,0,2,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1
21.0,4.0,97.0,1,2,0,2,2,1,2,0,0,0,0,2,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0
56.0,8.0,117.0,2,1,1,2,0,2,2,1,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
23.0,1.0,140.0,2,1,2,1,0,3,3,0,0,0,2,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
21.0,1.0,147.0,1,2,2,2,0,2,1,1,1,1,1,3,0,2,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
17.0,5.0,134.0,0,1,0,0,0,2,0,0,0,1,3,2,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
14.0,4.0,81.0,2,0,2,1,0,1,2,2,0,3,0,2,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1
18.0,3.0,135.0,2,2,0,1,1,1,0,0,0,0,3,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0
29.0,2.0,98.0,2,1,3,2,1,3,3,2,0,1,0,2,3,3,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
19.0,3.0,76.0,2,0,2,2,0,0,0,0,0,1,1,1,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1
26.0,3.0,90.0,1,1,1,1,0,2,3,0,2,1,3,1,2,1,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
20.0,3.0,119.0,1,3,1,2,0,2,1,2,0,0,0,3,3,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
22.0,2.0,120.0,1,0,1,1,1,1,1,0,0,1,0,3,1,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
19.0,5.0,141.0,2,1,0,0,0,1,2,0,0,0,3,2,2,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
16.0,3.0,90.0,1,0,0,1,0,2,2,0,2,0,0,0,2,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
